code,codeShow,title,brand,platform,modes,delivery,version,date,author,status,purpose,overview,roles,exceptions
SOP-CP-MARS-001,,酷澎－買斷出貨作業流程,MARS,酷澎,買斷,直送,V2.0,2026/07/17,黃千容,,建立標準化的酷澎出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。,收到業務通知 → 建立資料夾並製作出貨文件 → EIP採購單下採 → 發送出貨採購單給原廠 → 製作EMMA打單資料 → 原廠確認後通知勇信打單 → 製作出貨嘜頭 → 原廠回覆效期後確認嘜頭 → 出貨文件給勇信 → 缺貨另行通知小真下修,"業務｜提供補貨PO單號、倉別
企劃(OP)｜製作出貨相關文件（EIP下採檔案、嘜頭、驗收單）
採購｜與原廠下採單，發信通知缺貨",
SOP-HCT-MARS-001,,HCT新竹物流（瑪氏直送）出貨作業流程,MARS,HCT新竹物流,,竹運,V1.0,2025/10/02,伍龍英,,建立標準化的HCT新竹物流（瑪氏直送）出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。作業時間 D+2.5 天。,業務提供總表 → 建立資料夾並整理文件 → 製作採購單 → 訂單系統拋檔(EIP) → 發送檔案給原廠 → 原廠提供效期後填上新竹物流嘜頭 → 發送檔案給採購 → 採購寄給原廠,"業務｜提供總表，指定到貨日期
企劃(OP)｜依據製作採購單，處理出貨單及系統拋檔
採購｜驗收與結帳","採購單或出貨單數量不符，需立即回報業務。
入庫或裸品嘜頭缺漏，需重新匯出補齊。
庫存不足，立即與業務確認。
通知瑪氏後若無法出貨，立即與業務確認，需下修數量（重新拋單）或不出。"
SOP-MO-MARS-001,,MOMO 出貨作業流程,MARS,MOMO,寄銷,直送,V1.0,2025/10/03,伍龍英,,建立標準化的Momo出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。作業時間 D+3.5 天。,業務提供總表、採購單 → 建立資料夾並整理文件 → 核對補貨及採購單 → 訂單系統拋檔(EIP) → 發送檔案給原廠 → 原廠提供效期後回填Momo後台 → 下載嘜頭+入庫單給原廠,"業務｜提供總表、採購單，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","採購單或出貨單數量不符，需立即回報業務。
入庫嘜頭缺漏，需重新提供補齊。
庫存不足，立即與業務確認。
通知瑪氏後若無法出貨，需下修數量（重新拋單）或不出。"
SOP-PC-MARS-001-直送,,PCHOME 出貨作業流程（直送）,MARS,PCHOME,寄銷,直送,V1.0,2025/10/02,伍龍英,,建立標準化的Pchome出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。作業時間 D+3.5 天。,業務提供總表、採購單 → Pchome後台回填到貨日與數量 → 合併(嘜頭+二聯單)PDF與下載 → 建立資料夾並整理文件 → 核對補貨及採購單 → 庫存確認 → 訂單系統拋檔 → 發送檔案給原廠,"業務｜提供總表、採購單，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","採購單或出貨單數量不符，需立即回報業務。
入庫或裸品嘜頭缺漏，需重新匯出補齊。
庫存不足，立即與業務確認。
通知瑪氏後若無法出貨，需下修數量（重新拋單）或不出。"
SOP-PC-MARS-001-竹運,,PCHOME 出貨作業流程（竹運）,MARS,PCHOME,寄銷,竹運,V1.0,2026/07/02,伍龍英,,建立標準化的Pchome出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。作業時間 D+4 天。,業務提供補貨列表 → Pchome後台下載(嘜頭+二聯單) → 合併PDF與下載 → 建立資料夾並整理文件 → 核對補貨及採購單 → 庫存確認 → 訂單系統拋檔 → 發送檔案給竹運,"業務｜提供補貨列表，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","採購單或出貨單數量不符，需立即回報業務。
入庫或裸品嘜頭缺漏，需重新匯出補齊。
庫存不足，立即與業務確認。
通知瑪氏後若無法出貨，需下修數量（重新拋單）或不出。"
SOP-UBER-001,,優食（UberEats）出貨流程,MARS,UberEats,,竹運,V1.0,2025/10/01,黃千容,,建立標準化的優食出貨流程，確保出貨作業正確並能有效追蹤，以降低錯誤率並提升作業效率。,店長下單 → 系統通知信 → 建立出貨資料夾 → 依訂單品項填入UBER訂單匯入表 → 竹運庫存表轉換貼上竹運效期 → 核對可出貨 → 系統拋單 → 確認缺貨/異常放行 → 產生O單至優食好物商城訂單匯出 → 確認條碼完整 → 放入優食雲端,"業務｜確認庫存效期／商品金額／下採
企劃｜依照流程執行出貨流程及系統拋單","拋單後再次確認訂單狀況，是否有缺貨或金額異常要放行。
必要時附上聯絡窗口資訊。"
SOP-BK-PG-001,,博客來－竹運出貨作業流程,PG,博客來,"寄銷,領用",竹運,V1.0,2025/09/30,杜孟涵,,建立標準化的博客來出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。,業務通知 → 建立出貨資料夾與匯入檔 → 收取訂單與匯出明細 → 處理出貨明細與系統拋單 → 列印採購單與填寫出貨資料 → 列印外箱嘜頭 → 貼附有效期限標示 → 發送出貨文件與登記,"業務｜提供出貨單，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","更改出貨數量至[填寫出貨數量]修改；回填錯誤選「是否回填數量=是」後更正。
忘記列印採購單或需修改，至[列印外箱嘜頭]按回復後重新操作。
幫寶適訂單需入「明治大竹倉」，注意出貨地址不同。
一次最多合併4張採購單，回填總箱數不得超過200箱。
庫存不足，立即與業務確認。
有效期問題無法出貨，需下修數量（重新拋單）或不出。"
SOP-BK-PG-002,,博客來－直送出貨作業流程,PG,博客來,"寄銷,領用",直送,V1.0,2025/10/15,杜孟涵,,建立標準化的博客來出貨流程（原廠直送），確保入庫、補貨與拋檔作業正確，並降低錯誤率。,業務通知 → 建立資料夾與出貨文件 → 收取訂單與匯出明細 → 製作採購單及匯入檔 → EIP上傳採購單 → 發信 → 核單確認缺貨 → 修改出貨數量 → 列印採購單與出貨資料 → 列印外箱嘜頭 → 貼附有效期限 → 發送出貨文件,"業務｜提供出貨單，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","更改出貨數量至[填寫出貨數量]修改。
忘記列印採購單，至[列印外箱嘜頭]按回復後重新操作。
幫寶適訂單需入「明治大竹倉」。
一次最多合併4張採購單，總箱數不得超過200箱。
庫存不足，立即與業務確認。
有效期問題無法出貨，需下修數量或不出。"
SOP-CP-PG-001,,酷澎－買斷出貨作業流程（直送）,PG,酷澎,買斷,直送,V2.0,2026/06/29,林佳慧,,建立標準化的酷澎出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。,收到業務補貨通知 → 約倉 → 酷澎後台下載PO單及驗收單 → 建立資料夾並製作出貨文件 → EIP採購單下採 → 發送檔案給相關單位 → 出貨前一天收到缺貨通知 → 製作出貨檔案 → 發送檔案給相關單位,"業務｜提供補貨PO單號、倉別
企劃(OP)｜約倉、製作出貨相關文件（EIP下採檔案、嘜頭、驗收單）
採購｜與原廠下採單，發信通知缺貨",
SOP-CP-PG-002,,酷澎買斷－竹運出貨作業流程,PG,酷澎,買斷,竹運,V1.0,2025/10/08,杜孟涵,,建立標準化的酷澎出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。,收到業務補貨通知 → 酷澎後台下載PO單及驗收單 → 建立資料夾並製作出貨文件 → 約倉 → 確認庫存 → 訂單系統拋檔 → 發送檔案給相關單位,"業務｜提供補貨PO單號、倉別
企劃(OP)｜約倉、製作出貨相關文件（訂單匯入檔、嘜頭、驗收單）",
SOP-ET-PG-001,,東森－竹運出貨作業流程,PG,東森,"寄銷,領用",竹運,V1.0,2025/09/26,杜孟涵,,建立標準化的東森出貨流程，確保入庫、補貨與拋檔作業正確，並降低錯誤率。,業務提供出貨單 → 東森後台入庫指示書 → 匯出與列印 → 建立資料夾並整理文件 → 核對補貨及採購單 → 庫存確認 → 訂單系統拋檔 → 發送檔案給物流,"業務｜提供出貨單，指定到貨日期
企劃(OP)｜依據流程處理入庫、出貨單及系統拋檔","採購單或出貨單數量不符，需立即回報業務。
入庫或裸品嘜頭缺漏，需重新匯出補齊。
庫存不足，立即與業務確認。
有效期問題無法出貨，需下修數量（重新拋單）或不出。"
SOP-PC-PG-001,,PCHOME 寄銷/買斷/領用－原廠直出流程,PG,PCHOME,"寄銷,買斷,領用",直送,V2.0,2026/06/29,林佳慧,,規範PCHOME出貨作業流程，確保買斷與寄銷出貨執行一致性，降低錯誤並提升作業效率。,業務補貨通知 → 建立公槽資料夾 → 區分買斷/寄銷/贈品流程 → 製作採購單與上傳表 → 上傳EIP系統 & 通知採購 → 出貨前一天核單與缺貨修正 → 下載嘜頭、寄信通知出貨,"業務｜提供補貨資料、確認到貨日
採購｜下採單、發信通知缺貨
企劃(OP)｜建資料夾、製作/修改採購單與上傳檔、上傳EIP系統、下載嘜頭、通知出貨",缺貨品項 → 出貨前一天依採購通知修正數量及更改約倉日期。
SOP-PC-PG-002,,PCHOME 寄銷/買斷/領用－竹運出貨流程,PG,PCHOME,"寄銷,買斷,領用",竹運,V1.0,2025/10/02,杜孟涵,,規範PCHOME出貨作業流程，確保買斷與寄銷出貨執行一致性，降低錯誤並提升作業效率。,業務補貨通知 → 約倉（成功則出貨，失敗回報業務）→ 建立公槽資料夾 → 區分買斷/寄銷/贈品流程 → 製作採購單與上傳表 → 上傳訂單系統 → 缺貨修正 → 下載嘜頭、寄信通知出貨,"業務｜提供補貨資料、確認到貨日
企劃(OP)｜建資料夾、製作/修改採購單與上傳檔、上傳訂單系統、下載嘜頭、通知出貨","約不到倉 → 回報業務，確認改到貨日。
缺貨品項 → 回報業務，確認是否下修不出，並於PCHOME後台修正到貨數量。"
